Result_ID,Fighter_Name,Fight_ID,Decision,Match_Result,Seed,DefendingIndicator
6916,Simon Belmont,3105,l,0,,
6917,Robin,3105,w,2,,
6918,Ken,3106,l,0,,
6919,Marth,3106,w,3,,
6920,ROB,3107,w,2,,
6921,Wii Fit Trainer,3107,l,0,,
6922,Fox,3108,l,0,,
6923,Toon Link,3108,w,3,,
6924,Wolf,3109,l,0,,
6925,Samus,3109,w,0,,
6926,Joker,3110,w,1,,
6927,Lucas,3110,l,0,,
6928,Mewtwo,3111,l,0,,
6929,Incineroar,3111,w,1,,
6930,Pit,3112,w,1,,
6931,Lucina,3112,l,0,,
6932,Luigi,3113,w,3,,
6933,Lucario,3113,l,0,,
6934,Diddy Kong,3114,w,1,,
6935,Corrin,3114,l,0,,
6936,Peach,3115,l,0,,
6937,Pac-Man,3115,w,2,,
6938,Pirahna Plant,3116,l,0,,
6939,Villager,3116,w,3,,
6940,Mega Man,3117,l,0,,
6941,Snake,3117,w,1,,
6942,Dr Mario,3118,l,0,,
6943,Shulk,3118,w,1,,
6944,Ness,3119,w,2,,
6945,Roy,3119,l,0,,
6946,Kirby,3120,w,2,,
6947,Rosalina & Luma,3120,l,0,,
6948,Pokemon Trainer,3121,l,0,,
6949,Ice Climbers,3121,w,2,,
6950,Falco,3122,w,2,,
6951,Richter Belmont,3122,l,0,,
6952,Ryu,3123,l,0,,
6953,Sonic,3123,w,1,,
6954,Wario,3124,l,0,,
6955,Link,3124,w,1,,
6956,Zelda,3125,w,2,,
6957,Duck Hunt,3125,l,0,,
6958,Bayonetta,3126,l,0,,
6959,Isabelle,3126,w,1,,
6960,Dark Samus,3127,l,0,,
6961,Yoshi,3127,w,1,,
6962,Incineroar,3128,l,0,,
6963,Joker,3128,w,2,,
6964,Pit,3129,w,2,,
6965,DK,3129,l,0,,
6966,Bowser,3130,w,3,,
6967,Little Mac,3130,l,0,,
6968,Greninja,3131,l,0,,
6969,Inkling,3131,w,1,,
6970,Chrom,3132,w,2,,
6971,Pichu,3132,l,0,,
6972,Pikachu,3133,w,2,,
6973,Young Link,3133,l,0,,
6974,Mario,3134,l,0,,
6975,Ike,3134,w,2,,
6976,Pokemon Trainer,3135,l,0,,
6977,Lucario,3135,l,0,,
6978,Meta Knight,3135,w,1,,
6979,Pac-Man,3135,w,2,,
6980,Bowser Jr,3136,l,0,,
6981,Daisy,3136,w,1,,
6982,Sonic,3137,l,0,,
6983,Simon Belmont,3137,w,1,,
6984,Wolf,3137,l,0,,
6985,Ice Climbers,3138,w,1,,
6986,Jigglypuff,3138,l,0,,
6987,Marth,3139,l,0,,
6988,Toon Link,3139,w,1,,
6989,Dark Pit,3140,w,3,,
6990,Lucario,3140,l,0,,
6991,Cloud,3141,w,2,,
6992,Corrin,3141,l,0,,
6993,DK,3142,w,1,,
6994,Lucina,3142,l,0,,
6995,Incineroar,3143,w,2,,
6996,Ridley,3143,l,-2,,
6997,Ganondorf,3144,w,2,,
6998,Zelda,3144,l,0,,
6999,Mr Game & Watch,3145,w,2,,
7000,Peach,3145,l,0,,
7001,Sheik,3146,l,0,,
7002,King Dedede,3146,w,3,,
7003,Mario,3147,w,2,,
7004,Little Mac,3147,l,0,,
7005,Snake,3148,l,0,,
7006,Roy,3148,w,1,,
7007,Bowser,3149,l,0,,
7008,Chrom,3149,w,1,,
7009,Fox,3150,l,0,,Y
7010,Falco,3150,w,2,,
7011,Yoshi,3151,w,2,,Y
7012,Incineroar,3151,l,-1,,
7013,Captain Falcon,3152,l,-1,,Y
7014,Roy,3152,w,1,,
7015,King K Rool,3153,w,2,,Y
7016,Mr Game & Watch,3153,w,2,,
7017,Meta Knight,3153,l,0,,
7018,Pac-Man,3153,l,0,,
7019,Palutena,3154,l,0,,Y
7020,Samus,3154,w,2,,
7021,Dark Pit,3155,w,1,,Y
7022,Diddy Kong,3155,l,0,,
7023,Inkling,3156,l,0,,
7024,Shulk,3156,w,1,,
7025,ROB,3157,w,1,,Y
7026,Toon Link,3157,l,0,,
7027,Ganondorf,3158,w,1,,Y
7028,Pit,3158,l,0,,
7029,King Dedede,3159,w,3,,Y
7030,Ike,3159,l,0,,
7031,Robin,3160,l,0,,
7032,Luigi,3160,l,0,,
7033,Ness,3160,l,0,,
7034,Link,3160,w,1,,
7035,Joker,3160,l,0,,
7036,Pikachu,3160,l,0,,
7037,Simon Belmont,3160,l,0,,
7038,Chrom,3160,l,0,,
7039,Link,3161,w,2,,
7040,Daisy,3161,l,0,,
7041,Wii Fit Trainer,3162,l,0,,
7042,Ken,3162,w,2,,
7043,Palutena,3163,w,1,,
7044,Ryu,3163,l,0,,
7045,Kirby,3164,w,1,,
7046,Fox,3164,l,0,,
7047,Ice Climbers,3165,l,0,,
7048,Robin,3165,w,2,,
7049,DK,3166,w,2,,
7050,Mewtwo,3166,l,0,,
7051,Lucas,3167,w,2,,
7052,Olimar,3167,l,0,,
7053,Joker,3168,w,1,,
7054,Lucina,3168,l,0,,
7055,Zelda,3169,l,0,,
7056,Incineroar,3169,w,0,,
7057,Pit,3170,w,2,,
7058,Diddy Kong,3170,l,0,,
7059,Pichu,3171,l,0,,
7060,Sheik,3171,w,2,,
7061,Ness,3172,w,2,,
7062,Inkling,3172,l,0,,
7063,Young Link,3173,l,0,,
7064,Dr Mario,3173,w,2,,
7065,Captain Falcon,3174,l,0,,
7066,Greninja,3174,w,1,,
7067,Pac-Man,3175,l,-2,,
7068,Bowser,3175,w,2,,
7069,Wolf,3176,l,0,,
7070,Rosalina & Luma,3176,w,1,,
7071,Bowser Jr,3177,w,1,,
7072,Jigglypuff,3177,l,0,,
7073,Simon Belmont,3178,w,1,,
7074,Richter Belmont,3178,l,0,,
7075,Ken,3179,w,1,,
7076,Wario,3179,l,0,,
7077,Marth,3180,l,0,,
7078,Palutena,3180,w,0,,
7079,Ganondorf,3181,w,3,,
7080,Bayonetta,3181,l,0,,
7081,Rildey,3182,w,0,,
7082,Dark Samus,3182,w,1,,
7083,Villager,3182,l,0,,
7084,Isabelle,3182,l,0,,
7085,Cloud,3183,w,2,,
7086,Lucario,3183,l,0,,
7087,Lucina,3184,w,1,,
7088,Meta Knight,3184,l,0,,
7089,Luigi,3185,l,0,,
7090,Joker,3185,w,2,,
7091,Little Mac,3186,w,2,,
7092,Mega Man,3186,l,0,,
7093,Pirahna Plant,3187,l,0,,
7094,Snake,3187,w,2,,
7095,Mr Game & Watch,3188,w,1,,
7096,Sheik,3188,l,0,,
7097,Chrom,3189,w,2,,
7098,Young Link,3189,l,0,,
7099,Pikachu,3190,l,0,,
7100,Mario,3190,w,1,,
7101,Pokemon Trainer,3191,w,1,,
7102,Ken,3191,l,0,,
7103,Ryu,3191,l,0,,
7104,ROB,3192,w,2,,
7105,Wolf,3192,l,0,,
7106,Falco,3193,l,0,,
7107,Samus,3193,w,1,,
7108,Richter Belmont,3194,w,1,,
7109,Kirby,3194,l,0,,
7110,Sonic,3195,l,0,,
7111,Toon Link,3195,w,1,,
7112,Yoshi,3196,w,2,,
7113,Bayonetta,3196,l,0,,
7114,Dark Pit,3197,w,3,,
7115,Duck Hunt,3197,l,0,,
7116,Lucas,3198,w,2,,
7117,Meta Knight,3198,l,0,,
7118,DK,3199,l,0,,
7119,Corrin,3199,w,2,,
7120,Pit,3200,w,3,,
7121,Joker,3200,l,0,,
7122,Ike,3201,w,2,,
7123,Mega Man,3201,l,0,,
7124,Pirahna Plant,3202,l,0,,
7125,King Dedede,3202,w,2,,
7126,Villager,3203,w,1,,
7127,Peach,3203,l,0,,
7128,Little Mac,3204,w,2,,
7129,Greninja,3204,l,0,,
7130,Dr Mario,3205,w,2,,
7131,Snake,3205,l,0,,
7132,Roy,3206,w,2,,
7133,Bowser,3206,l,-2,,
7134,Dark Pit,3207,w,1,,Y
7135,Lucina,3207,l,0,,
7136,Samus,3208,l,0,,Y
7137,Palutena,3208,w,1,,
7138,Shulk,3209,l,0,,Y
7139,Dr Mario,3209,w,2,,
7140,Yoshi,3210,l,-1,,Y
7141,Incineroar,3210,w,1,,
7142,Falco,3211,l,0,,
7143,Robin,3211,w,2,,
7144,King K Rool,3212,l,0,,Y
7145,Mr Game & Watch,3212,l,0,,
7146,Ridley,3212,w,0,,
7147,Dark Samus,3212,w,2,,
7148,Simon Belmont,3213,l,0,,
7149,Chrom,3213,l,0,,
7150,Pokemon Trainer,3213,w,1,,
7151,Lucas,3213,l,0,,
7152,Corrin,3213,l,0,,
7153,Little Mac,3213,l,0,,
7154,King Dedede,3214,l,0,,Y
7155,Mario,3214,w,2,,
7156,ROB,3215,l,0,,Y
7157,Toon Link,3215,w,3,,
7158,Ganondorf,3216,w,2,,Y
7159,Pit,3216,l,0,,
7160,Pokemon Trainer,3217,l,0,,
7161,ROB,3217,w,2,,
7162,Ryu,3218,l,0,,
7163,Wario,3218,w,2,,
7164,Marth,3219,w,3,,
7165,Roaslina & Luma,3219,l,0,,
7166,Palutena,3220,w,2,,
7167,Ice Climbers,3220,l,0,,
7168,Samus,3221,w,2,,
7169,Simon Belmont,3221,l,-2,,
7170,Olimar,3222,l,0,,
7171,King K Rool,3222,w,2,,
7172,Lucario,3223,l,0,,
7173,Mewtwo,3223,w,3,,
7174,Lucina,3224,l,0,,
7175,Lucas,3224,w,2,,
7176,Pit,3225,w,1,,
7177,DK,3225,l,0,,
7178,Yoshi,3226,w,2,,
7179,Ridley,3226,l,0,,
7180,Sheik,3227,l,0,,
7181,Greninja,3227,w,2,,
7182,Shulk,3228,w,2,,
7183,Pac-Man,3228,l,0,,
7184,Pikachu,3229,w,1,,
7185,Little Mac,3229,l,0,,
7186,Ike,3230,l,0,,
7187,Young Link,3230,w,1,,
7188,Ness,3231,l,0,,
7189,King Dedede,3231,w,1,,
7190,Wii Fit Trainer,3232,w,2,,
7191,Richter Belmont,3232,l,0,,
7192,Ken,3233,l,0,,
7193,Sonic,3233,w,3,,
7194,Kirby,3234,l,0,,
7195,Robin,3234,w,2,,
7196,Fox,3235,l,0,,
7197,Link,3235,w,2,,
7198,Falco,3236,l,0,,
7199,Marth,3236,w,1,,
7200,Ridley,3237,w,3,,
7201,Corrin,3237,l,0,,
7202,Isabelle,3238,w,1,,
7203,Duck Hunt,3238,l,0,,
7204,Bayonetta,3239,l,0,,
7205,Meta Knight,3239,w,3,,
7206,Lucas,3240,w,2,,
7207,King K Rool,3240,l,0,,
7208,Cloud,3241,w,2,,
7209,Pit,3241,l,0,,
7210,Mega Man,3242,w,1,,
7211,Villager,3242,l,0,,
7212,Bowser,3243,w,1,,
7213,Bowser Jr,3243,w,2,,
7214,Inkling,3243,l,0,,
7215,Sheik,3243,l,0,,
7216,Captain Falcon,3244,w,2,,
7217,Snake,3244,l,0,,
7218,Mr Game & Watch,3245,l,0,,
7219,Shulk,3245,w,2,,
7220,Chrom,3246,w,5,,
7221,Little Mac,3246,l,-3,,
7222,Pac-Man,3246,l,-2,,
7223,Rosalina & Luma,3247,l,0,,
7224,Sonic,3247,w,2,,
7225,Marth,3248,w,3,,
7226,Pokemon Trainer,3248,l,0,,
7227,Ken,3249,l,0,,
7228,Simon Belmont,3249,w,1,,
7229,ROB,3250,w,2,,
7230,Falco,3250,l,0,,
7231,Samus,3251,l,0,,
7232,Wario,3251,w,2,,
7233,Dark Samus,3252,w,3,,
7234,Lucario,3252,l,0,,
7235,Zelda,3253,l,0,,
7236,DK,3253,w,1,,
7237,Mewtwo,3254,w,2,,
7238,Corrin,3254,l,0,,
7239,Diddy Kong,3255,l,0,,
7240,Joker,3255,w,2,,
7241,Lucas,3256,l,0,,
7242,Luigi,3256,w,2,,
7243,Inkling,3257,l,0,,
7244,Young Link,3257,w,1,,
7245,Mario,3258,w,2,,
7246,Pirahna Plant,3258,l,0,,
7247,Roy,3259,w,3,,
7248,Villager,3259,l,0,,
7249,Captain Falcon,3260,w,1,,
7250,Greninja,3260,l,0,,
7251,Ness,3261,w,2,,
7252,Pikachu,3261,l,0,,
7253,Ness,3262,w,2,,
7254,King Dedede,3262,l,0,,
7255,Dark Pit,3263,w,2,,Y
7256,Lucas,3263,l,0,,
7257,Roy,3264,w,5,,Y
7258,Chrom,3264,l,-5,,
7259,Robin,3265,l,0,,Y
7260,Marth,3265,w,1,,
7261,Incineroar,3266,w,2,,Y
7262,Yoshi,3266,l,0,,
7263,Dr Mario,3267,w,2,,Y
7264,Captain Falcon,3267,l,0,,
7265,Palutena,3268,l,-2,,Y
7266,Samus,3268,l,1,,
7267,Simon Belmont,3268,w,1,,
7268,Ridley,3269,w,1,,Y
7269,Dark Samus,3269,w,1,,
7270,Bowser,3269,l,0,,
7271,Bowser Jr,3269,l,0,,
7272,Ganondorf,3270,w,2,,Y
7273,Cloud,3270,l,0,,
7274,Mario,3271,w,2,,Y
7275,Ness,3271,l,0,,
7276,Toon Link,3272,w,1,,Y
7277,Link,3272,l,0,,
7278,Toon Link,3273,l,0,,Y
7279,Kirby,3273,w,1,,
7280,Shulk,3274,l,0,,Y
7281,ROB,3274,l,0,,
7282,Wario,3274,l,0,,
7283,Joker,3274,l,0,,
7284,Luigi,3274,w,1,,
7285,Ness,3274,l,0,,
7286,Robin,3275,l,0,,
7287,Ice Climbers,3275,w,2,,
7288,Ryu,3276,w,1,,
7289,Jigglypuff,3276,l,0,,
7290,Rosalina & Luma,3277,l,0,,
7291,Wii Fit Trainer,3277,w,2,,
7292,Marth,3278,w,2,,
7293,Falco,3278,l,0,,
7294,Palutena,3279,l,0,,
7295,Samus,3279,w,1,,
7296,Isabelle,3280,l,0,,
7297,Olimar,3280,w,1,,
7298,Lucario,3281,w,1,,
7299,Duck Hunt,3281,l,0,,
7300,Diddy Kong,3282,w,1,,
7301,Corrin,3282,l,0,,
7302,Mewtwo,3283,w,1,,
7303,Dark Samus,3283,l,0,,
7304,Zelda,3284,l,0,,
7305,Lucina,3284,w,1,,
7306,Pichu,3285,l,0,,
7307,Pirahna Plant,3285,w,3,,
7308,Mega Man,3286,l,0,,
7309,King Dedede,3286,w,2,,
7310,Chrom,3287,w,1,,
7311,Snake,3287,l,0,,
7312,Greninja,3288,l,0,,
7313,Shulk,3288,w,1,,
7314,Mr Game & Watch,3289,w,1,,
7315,Young Link,3289,l,0,,
7316,Bowser Jr,3290,l,0,,
7317,Wario,3290,w,1,,
7318,Fox,3291,w,1,,
7319,Falco,3291,w,2,,
7320,Bayonetta,3291,l,0,,
7321,Inkling,3291,l,0,,
7322,Ken,3292,l,0,,
7323,ROB,3292,w,3,,
7324,Richter Belmont,3293,l,0,,
7325,Sonic,3293,w,2,,
7326,Toon Link,3294,w,2,,
7327,Link,3294,l,0,,
7328,Isabelle,3295,w,1,,
7329,Bayonetta,3295,l,0,,
7330,Corrin,3296,l,0,,
7331,Zelda,3296,w,2,,
7332,Meta Knight,3297,l,0,,
7333,Pit,3297,w,2,,
7334,Joker,3298,l,0,,
7335,Yoshi,3298,w,1,,
7336,Cloud,3299,l,0,,
7337,Luigi,3299,w,1,,
7338,Peach,3300,l,0,,
7339,Sheik,3300,w,1,,
7340,Villager,3301,l,0,,
7341,Young Link,3301,w,1,,
7342,Ness,3302,l,0,,
7343,Pac-Man,3302,w,1,,
7344,Ike,3303,w,3,,
7345,Inkling,3303,l,0,,
7346,King Dedede,3304,w,3,,
7347,Bowser,3304,l,0,,
7348,Kirby,3305,w,3,,
7349,Wii Fit Trainer,3305,l,0,,
7350,Robin,3306,w,1,,
7351,Ken,3306,l,-1,,
7352,Daisy,3307,w,1,,
7353,Pokemon Trainer,3307,l,0,,
7354,Wolf,3308,w,2,,
7355,Rosalina & Luma,3308,l,0,,
7356,Wario,3309,w,1,,
7357,Palutena,3309,l,0,,
7358,Ganondorf,3310,w,2,,
7359,Corrin,3310,l,0,,
7360,Dark Pit,3311,w,2,,
7361,Meta Knight,3311,l,0,,
7362,Ridley,3312,l,0,,
7363,Cloud,3312,w,1,,
7364,DK,3313,l,0,,
7365,King K Rool,3313,l,0,,
7366,Lucas,3313,w,1,,
7367,Olimar,3314,l,-3,,
7368,Lucario,3314,w,3,,
7369,Zelda,3314,l,0,,
7370,Dr Mario,3315,w,3,,
7371,Pichu,3315,l,0,,
7372,Villager,3316,l,0,,
7373,Mario,3316,w,2,,
7374,Captain Falcon,3317,w,1,,
7375,Bowser,3317,l,0,,
7376,Pikachu,3318,w,3,,
7377,Young Link,3318,l,0,,
7378,Sheik,3319,l,-1,,
7379,Little Mac,3319,l,0,,
7380,Mega Man,3319,w,1,,
7381,Dark Pit,3320,l,0,,Y
7382,Lucina,3320,w,1,,
7383,Simon Belmont,3321,l,0,,Y
7384,Robin,3321,w,0,,
7385,Dr Mario,3322,l,0,,Y
7386,Mr Game & Watch,3322,w,1,,
7387,Incineroar,3323,w,1,,Y
7388,Lucario,3323,l,-1,,
7389,Marth,3324,w,1,,Y
7390,Wii Fit Trainer,3324,l,0,,
7391,Roy,3325,l,-1,,Y
7392,Mega Man,3325,w,1,,
7393,Ridley,3326,w,2,,Y
7394,Dark Samus,3326,w,2,,
7395,Fox,3326,l,0,,
7396,Falco,3326,l,0,,
7397,Diddy Kong,3327,l,0,,
7398,Mewtwo,3327,l,0,,
7399,Pit,3327,l,0,,
7400,Yoshi,3327,w,1,,
7401,Cloud,3327,l,0,,
7402,Lucas,3327,l,0,,
7403,Ice Climbers,3328,l,0,,
7404,Samus,3328,w,1,,
7405,Sonic,3328,l,0,,
7406,ROB,3328,l,0,,
7407,Link,3328,l,0,,
7408,Wario,3328,l,0,,
7409,Chrom,3329,l,0,,
7410,Shulk,3329,w,1,,
7411,Pac-Man,3329,l,0,,
7412,Ike,3329,l,0,,
7413,Captain Falcon,3329,l,0,,
7414,Pikachu,3329,l,0,,
7415,Mario,3330,w,1,,Y
7416,King Dedede,3330,l,0,,
7417,Kirby,3331,w,1,,Y
7418,Toon Link,3331,l,0,,
7419,Ganondorf,3332,w,2,,Y
7420,Luigi,3332,l,0,,
7421,Daisy,3333,l,0,,
7422,Kirby,3333,w,3,,
7423,Palutena,3334,w,1,,
7424,Ice Climbers,3334,l,0,,
7425,Bowser Jr,3335,l,0,,
7426,Marth,3335,w,1,,
7427,Link,3336,w,3,,
7428,Falco,3336,l,0,,
7429,Simon Belmont,3337,w,1,,
7430,Wolf,3337,l,-1,,
7431,Dark Samus,3338,l,0,,
7432,DK,3338,w,2,,
